created_at_time,Event,org_id,project_id,user_id
20-04-2022 18:24,project_creation_request_success,ORG-2nufoaj370k,PRJ4k2kct6c5854,USRl50abktx6cc1
25-04-2022 23:29,task_log_create_success,ORG-7fcq2k7b4xg,PRJ0ypqfy9v4kii,USRqki2dkqwj6xj
25-04-2022 23:29,task_creation,ORG-7fcq2k7b4xg,PRJ0ypqfy9v4kii,USRqki2dkqwj6xj
25-04-2022 23:28,project_creation_request_success,ORG-7fcq2k7b4xg,PRJfk9dy2gb6dhp,USRqki2dkqwj6xj
22-03-2022 20:40,task_log_create_success,ORG-iluuim4club,PRJ1jrd11tr99dc,USRcsxgn7-vnztk
23-03-2022 21:00,task_log_create_success,ORG-iluuim4club,PRJ1jrd11tr99dc,USRcsxgn7-vnztk
22-03-2022 20:40,task_creation,ORG-iluuim4club,PRJ1jrd11tr99dc,USRcsxgn7-vnztk
23-03-2022 21:03,stock_material_updated,ORG-iluuim4club,PRJ1jrd11tr99dc,USRcsxgn7-vnztk
23-03-2022 21:04,stock_material_updated,ORG-iluuim4club,PRJ1jrd11tr99dc,USRcsxgn7-vnztk
23-03-2022 21:05,stock_material_updated,ORG-iluuim4club,PRJ1jrd11tr99dc,USRcsxgn7-vnztk
23-03-2022 21:05,stock_material_updated,ORG-iluuim4club,PRJ1jrd11tr99dc,USRcsxgn7-vnztk
22-03-2022 20:39,project_creation_request_success,ORG-iluuim4club,PRJjial8edi2x63,USRcsxgn7-vnztk
23-03-2022 21:03,new_material_added,ORG-iluuim4club,PRJ1jrd11tr99dc,USRcsxgn7-vnztk
23-03-2022 21:03,new_material_added,ORG-iluuim4club,PRJ1jrd11tr99dc,USRcsxgn7-vnztk
23-03-2022 21:04,new_material_added,ORG-iluuim4club,PRJ1jrd11tr99dc,USRcsxgn7-vnztk
23-03-2022 21:04,new_material_added,ORG-iluuim4club,PRJ1jrd11tr99dc,USRcsxgn7-vnztk
23-03-2022 21:04,indent_create_success,ORG-iluuim4club,PRJ1jrd11tr99dc,USRcsxgn7-vnztk
22-03-2022 20:40,generate_report_success,ORG-iluuim4club,PRJ1jrd11tr99dc,USRcsxgn7-vnztk
22-03-2022 20:40,generate_report_success,ORG-iluuim4club,PRJ1jrd11tr99dc,USRcsxgn7-vnztk
22-03-2022 20:41,generate_report_success,ORG-iluuim4club,PRJ1jrd11tr99dc,USRcsxgn7-vnztk
22-03-2022 20:42,generate_report_success,ORG-iluuim4club,PRJ1jrd11tr99dc,USRcsxgn7-vnztk
22-03-2022 20:45,generate_report_success,ORG-iluuim4club,PRJ1jrd11tr99dc,USRcsxgn7-vnztk
23-03-2022 20:58,generate_report_success,ORG-iluuim4club,PRJ1jrd11tr99dc,USRcsxgn7-vnztk
23-03-2022 21:06,generate_report_success,ORG-iluuim4club,PRJ1jrd11tr99dc,USRcsxgn7-vnztk
27-03-2022 00:55,task_log_create_success,ORG-o3wg0wxgykk,PRJpeqlb7r8z05r,USRhnr-cha95rvm
27-03-2022 00:55,task_log_create_success,ORG-o3wg0wxgykk,PRJpeqlb7r8z05r,USRhnr-cha95rvm
27-03-2022 00:55,task_creation,ORG-o3wg0wxgykk,PRJpeqlb7r8z05r,USRhnr-cha95rvm
27-03-2022 00:53,project_creation_request_success,ORG-o3wg0wxgykk,PRJcegaw8o7utm0,USRhnr-cha95rvm
